ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;lat_dec;lon_dec
253190030;Dobrocin;Drwęca (28);53 54 30;19 49 41;118.0;53.90833333333333;19.828055555555554
253190070;Prabuty;Nogat (52);53 44 22;19 12 54;100.0;53.739444444444445;19.215
253190220;LIDZBARK;Wel (286);53 15 16;19 49 27;140.0;53.254444444444445;19.824166666666667
253190260;OSTROWITE;Drwęca (28);53 25 12;19 16 27;101.0;53.419999999999995;19.274166666666666
253190310;Kuligi;Wel (286);53 25 51;19 41 28;96.0;53.43083333333333;19.691111111111113
253190360;Najmowo;Osa (296);53 18 30;19 19 36;104.0;53.30833333333333;19.326666666666668
253190370;Bągart;Elbląg (54);53 59 30;19 23 04;0.0;53.99166666666667;19.384444444444444
253190380;Lubstyn;Drwęca (28);53 31 39;19 50 44;200.0;53.527499999999996;19.845555555555553
253200040;Gietrzwałd;Pasłęka (56);53 45 05;20 14 41;107.0;53.75138888888889;20.244722222222222
253200080;Jemiołowo;Pasłęka (56);53 33 42;20 17 58;175.0;53.56166666666666;20.299444444444447
253200140;Wielbark;Sawica (26542);53 24 22;20 56 14;127.0;53.40611111111111;20.93722222222222
253200290;Bagienice;Orzyc (2658);53 15 18;20 51 29;130.0;53.255;20.858055555555556
253210130;SZCZYTNO;Omulew (2654);53 34 37;21 00 44;160.0;53.57694444444445;21.01222222222222
253210170;ROZOGI;Szkwa (26518);53 29 29;21 22 46;130.0;53.49138888888889;21.379444444444445
253210180;PTAKI;Pisa (264);53 23 26;21 47 41;112.0;53.39055555555556;21.794722222222223
253210210;MYSZYNIEC;Rozoga (2652);53 23 04;21 21 01;120.0;53.38444444444444;21.35027777777778
253210220;DOBRYLAS;Pisa (264);53 17 47;21 49 38;104.0;53.296388888888885;21.827222222222222
253210260;ZARUZIE;Ruż (26516);53 08 51;21 48 09;87.0;53.1475;21.802500000000002
253210280;DOBRYLAS;Pisa (264);53 17 07;21 51 53;102.0;53.28527777777778;21.864722222222223
253210290;PTAKI;Pisa (264);53 23 35;21 47 30;107.0;53.393055555555556;21.791666666666668
253210350;TYSZKI-WĄDOŁOWO;Skroda (26498);53 26 52;21 59 03;152.0;53.44777777777777;21.984166666666667
253210370;ŚWIĘTAJNO;Szkwa (26518);53 33 49;21 13 41;142.0;53.56361111111111;21.228055555555553
253210380;Turowo;Pisa (264);53 31 43;21 54 06;141.0;53.52861111111111;21.901666666666664
253210390;Mikosze-Osada;Orzysza (26458);53 48 58;21 54 28;124.0;53.816111111111105;21.907777777777778
253210410;Targowo;Krutynia (264326);53 41 43;21 01 43;165.0;53.695277777777775;21.02861111111111
253220070;BIEBRZA;Ełk (2628);53 39 02;22 34 42;115.0;53.650555555555556;22.578333333333333
253220080;DĘBOWO;Biebrza (262);53 36 38;22 55 50;115.0;53.61055555555556;22.930555555555557
253220120;OSOWIEC;Biebrza (262);53 28 57;22 38 45;110.0;53.4825;22.645833333333332
253220130;RADZIŁÓW;Wissa (26296);53 24 50;22 24 19;115.0;53.413888888888884;22.405277777777776
253220160;BURZYN;Biebrza (262);53 16 43;22 27 15;120.0;53.27861111111111;22.454166666666666
253220210;TYKOCIN;Narew (26);53 12 16;22 46 14;109.0;53.20444444444445;22.770555555555553
253220220;ZAWADY;Ślina (26194);53 09 25;22 40 24;110.0;53.15694444444444;22.673333333333336
253220270;JABŁONOWO-WYPYCHY;Narew (26);53 01 47;22 45 01;130.0;53.02972222222222;22.75027777777778
253220310;MOŃKI;Nereśl (2618);53 24 01;22 47 47;175.0;53.400277777777774;22.79638888888889
253220330;MARIANOWO II;Narew (26);53 12 43;22 06 21;138.0;53.21194444444445;22.105833333333333
253220360;Biernatki;Netta (2622);53 52 04;22 51 12;136.0;53.867777777777775;22.853333333333335
253220370;Sawino;Narew (26);53 10 08;22 51 53;118.0;53.16888888888889;22.864722222222223
253230020;RÓŻANYSTOK;Sidra (26214);53 38 07;23 24 05;160.0;53.63527777777778;23.40138888888889
253230030;JANÓW;Brzozówka (2624);53 27 35;23 13 46;161.0;53.459722222222226;23.229444444444443
253230060;JAŁÓWKA;Sokołda (26162);53 21 14;23 20 26;170.0;53.35388888888889;23.340555555555554
253230110;FASTY;Supraśl (2616);53 10 39;23 01 33;114.0;53.177499999999995;23.02583333333333
253230160;SUPRAŚL;Supraśl (2616);53 12 39;23 19 57;137.0;53.21083333333333;23.3325
253230170;NOWOSIÓŁKI;Supraśl (2616);53 10 30;23 31 35;132.0;53.175;23.52638888888889
253230180;Drahle;Sokołda (26162);53 23 08;23 33 18;162.0;53.385555555555555;23.555
253230230;Zarzeczany;Supraśl (2616);53 06 06;23 41 04;146.0;53.10166666666667;23.684444444444445
253230250;Śluza Tartak;Czarna Hańcza (64);53 52 57;23 27 42;;53.8825;23.461666666666666
254140010;Dziwnów;Morze Bałtyckie (0);54 01 20;14 43 54;3.0;54.02222222222222;14.731666666666667
254150050;Białogard;Parsęta (44);54 00 15;15 58 30;23.0;54.00416666666667;15.975
254150060;Gąski;Czerwona (454);54 14 17;15 55 02;8.0;54.238055555555555;15.917222222222222
254160020;Darłowo;Wieprza (46);54 25 60;16 22 06;12.0;54.43333333333333;16.368333333333332
254160030;Sławno;Wieprza (46);54 21 06;16 40 13;25.0;54.35166666666667;16.67027777777778
254160040;Jeżyczki;Wieprza (46);54 20 05;16 23 26;10.0;54.334722222222226;16.390555555555554
254160060;Sierakowo;Wieprza (46);54 12 59;16 30 59;50.0;54.21638888888889;16.51638888888889
254160080;Polanów;Wieprza (46);54 07 07;16 40 59;80.0;54.118611111111115;16.68305555555556
254160110;Miastko;Wieprza (46);54 00 56;16 58 49;160.0;54.01555555555556;16.980277777777776
254160130;Ciecholub;Wieprza (46);54 10 22;16 52 28;115.0;54.172777777777775;16.874444444444446
254160140;Kłanino;Parsęta (44);54 01 39;16 28 70;114.0;54.027499999999996;16.48611111111111
254160150;Mokre;Ząbrza (456182);54 10 13;16 24 06;76.0;54.17027777777778;16.401666666666664
